"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1971","Idaho","Beer","14883000","669735","53533","12511","4","42790","15652","4",".","",""
"1971","Idaho","All Beverages","","1217315","53533","22739","7","42790","28448","6",".","",""
"1971","Illinois","Spirits","25466000","11459700","829498","13815","3","683883","16757","3",".","",""
"1971","Illinois","Wine","16297000","2607520","829498","3143","5","683883","3813","5",".","",""
"1971","Illinois","Beer","224559000","10105155","829498","12182","5","683883","14776","5",".","",""
"1971","Illinois","All Beverages","","24172375","829498","29141","3","683883","35346","3",".","",""
"1971","Indiana","Spirits","5825000","2621250","384503","6817","10","312608","8385","10",".","",""
"1971","Indiana","Wine","3210000","513600","384503","1336","9","312608","1643","9",".","",""
"1971","Indiana","Beer","85908000","3865860","384503","10054","8","312608","12366","8",".","",""
"1971","Indiana","All Beverages","","7000710","384503","18207","9","312608","22395","9",".","",""
"1971","Iowa","Spirits","3335000","1500750","211412","7099","9","172887","8681","9",".","",""
"1971","Iowa","Wine","957000","153120","211412","724","10","172887","886","10",".","",""
"1971","Iowa","Beer","51902000","2335590","211412","11048","7","172887","13509","7",".","",""
"1971","Iowa","All Beverages","","3989460","211412","18870","8","172887","23075","9",".","",""
"1971","Kansas","Spirits","2598000","1169100","169263","6907","10","138316","8452","10",".","",""
"1971","Kansas","Wine","1080000","172800","169263","1021","9","138316","1249","10",".","",""
"1971","Kansas","Beer","33646000","1514070","169263","8945","9","138316","10946","9",".","",""
"1971","Kansas","All Beverages","","2855970","169263","16873","10","138316","20648","10",".","",""
"1971","Kentucky","Spirits","4664000","2098800","243823","8608","8","197874","10607","8",".","",""
"1971","Kentucky","Wine","1516000","242560","243823","995","10","197874","1226","10",".","",""
"1971","Kentucky","Beer","52139000","2346255","243823","9623","8","197874","11857","8",".","",""
"1971","Kentucky","All Beverages","","4687615","243823","19225","8","197874","23690","8",".","",""
"1971","Louisiana","Spirits","5702000","2565900","264399","9705","6","210200","12207","6",".","",""
"1971","Louisiana","Wine","5436000","869760","264399","3290","4","210200","4138","4",".","",""
"1971","Louisiana","Beer","68724000","3092580","264399","11697","6","210200","14713","5",".","",""
"1971","Louisiana","All Beverages","","6528240","264399","24691","6","210200","31057","6",".","",""
"1971","Maine","Spirits","1650000","742500","74927","9910","6","61461","12081","6",".","",""
"1971","Maine","Wine","1867000","298720","74927","3987","3","61461","4860","3",".","",""
"1971","Maine","Beer","21206000","954270","74927","12736","3","61461","15526","4",".","",""
"1971","Maine","All Beverages","","1995490","74927","26632","5","61461","32467","5",".","",""
"1971","Maryland","Spirits","9377000","4219650","294086","14348","2","240921","17515","2",".","",""
"1971","Maryland","Wine","5213000","834080","294086","2836","5","240921","3462","5",".","",""
"1971","Maryland","Beer","83812000","3771540","294086","12825","3","240921","15655","3",".","",""
"1971","Maryland","All Beverages","","8825270","294086","30009","3","240921","36631","2",".","",""
"1971","Massachusetts","Spirits","13089000","5890050","430248","13690","3","355953","16547","3",".","",""
"1971","Massachusetts","Wine","10051000","1608160","430248","3738","3","355953","4518","4",".","",""
"1971","Massachusetts","Beer","110110000","4954950","430248","11516","6","355953","13920","6",".","",""
"1971","Massachusetts","All Beverages","","12453160","430248","28944","3","355953","34985","3",".","",""
"1971","Michigan","Spirits","15374000","6918300","649896","10645","5","523827","13207","5",".","",""
"1971","Michigan","Wine","11246000","1799360","649896","2769","5","523827","3435","5",".","",""
"1971","Michigan","Beer","195328000","8789760","649896","13525","2","523827","16780","2",".","",""
